Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Month
72hrs,65174865,12180,20288,5350,972256,37058,1107013,True,False,English,2-2020
ALOHADANCETV,100697565,9990,21308,10079,510730,17447,3104915,True,False,Russian,8-2019
ALOHADANCETV,96405045,12345,36926,7808,510730,21400,3840711,True,False,Russian,7-2019
AdmiralBahroo,145006575,15510,16796,9348,767646,3567,1260698,True,False,English,3-2020
AdmiralBahroo,133999260,15810,18081,8475,767646,8821,1401268,True,False,English,7-2019
AdmiralBahroo,113289465,13935,12942,8129,767646,2100,1091917,True,False,English,4-2020
AdmiralBahroo,107821695,11385,21053,9470,767646,24039,1664305,True,False,English,9-2019
AdmiralBahroo,94542885,12195,14637,7752,767646,4226,1094156,True,False,English,1-2020
AdmiralBahroo,91062705,10995,16374,8281,767646,3972,846032,True,False,English,12-2019
AdmiralBahroo,89969790,10875,17129,8272,767646,5450,1240667,True,False,English,2-2020
AdmiralBahroo,83240160,10350,11598,8042,767646,5231,846341,True,False,English,11-2019
AdmiralBahroo,75818505,10530,54643,7199,767646,15848,1157761,True,False,English,5-2019
AdmiralBahroo,74971200,9870,15925,7595,767646,11515,1045862,True,False,English,4-2019
AdmiralBahroo,70642200,11085,13278,6372,767646,7363,947540,True,False,English,8-2019
AdmiralBahroo,69859410,10785,11017,6476,767646,3743,836767,True,False,English,10-2019
AdmiralBulldog,108315105,16380,16452,6612,678078,4830,1780463,True,True,English,4-2020
AdmiralBulldog,102577890,14610,23395,7020,678078,10285,2094494,True,True,English,7-2019
AdmiralBulldog,89704980,13980,14725,6416,678078,5643,1502576,True,True,English,1-2020
AdmiralBulldog,84726285,13260,12771,6389,678078,5655,1496505,True,True,English,3-2020
AdmiralBulldog,84077625,12885,16102,6524,678078,6639,1425492,True,True,English,11-2019
AdmiralBulldog,83947785,12900,16681,6507,678078,5537,1368790,True,True,English,2-2020
AdmiralBulldog,83020275,14070,16767,5900,678078,25290,1692252,True,True,English,5-2019
AdmiralBulldog,79486830,15105,16757,5261,678078,7313,1663707,True,True,English,4-2019
AdmiralBulldog,71649045,11055,13778,6480,678078,5023,1260221,True,True,English,12-2019
AdmiralBulldog,67102665,11775,14655,5698,678078,9751,1400087,True,True,English,8-2019
AdmiralBulldog,66454140,12255,10956,5422,678078,7187,1295964,True,True,English,9-2019
AdmiralBulldog,61846005,11340,11388,5453,678078,3839,1168337,True,True,English,10-2019
Agraelus,74757750,14970,14015,4993,380127,12516,2005422,True,True,Czech,3-2020
Agraelus,65551455,13350,13073,4909,380143,10160,1250345,True,True,Czech,12-2019
Agraelus,65192745,14415,11679,4522,380131,11137,1338883,True,True,Czech,1-2020
AlpTV,134672415,13365,33059,10075,576495,184014,2798819,True,False,Turkish,4-2020
Anomaly,2216623080,29115,125408,76132,2648354,1042682,24233362,True,False,English,4-2020
Anton,91921290,10620,76963,8655,160103,21178,858871,True,True,English,1-2020
Asmongold,803541435,13350,123958,60189,1415150,98533,13676342,True,False,English,9-2019
Asmongold,690155625,13620,263720,50671,1415150,153790,14077874,True,False,English,8-2019
Asmongold,401599860,9705,77860,41380,1415150,50576,6512268,True,False,English,4-2020
Asmongold,399698685,10155,99992,39359,1415150,128299,8071702,True,False,English,5-2019
Asmongold,366866760,10185,69407,36019,1415150,21350,6128272,True,False,English,10-2019
Asmongold,289623780,9000,100451,32179,1415150,21957,4816412,True,False,English,11-2019
Asmongold,227193120,9135,68798,24870,1415150,27983,4674483,True,False,English,7-2019
Asmongold,63020685,3690,25463,17078,1415150,17436,1474952,True,False,English,4-2019
Aydan,69939150,13275,24882,5268,1628347,83640,1435593,True,True,English,8-2019
BLASTPremier,187712160,4230,113167,44375,358147,81474,5057331,True,False,English,2-2020
BLASTPremier,65922450,2115,111684,31168,358147,29907,1820893,True,False,English,12-2019
Baiano,125405880,7230,107069,17344,313747,117401,2649507,True,False,Portuguese,3-2020
Baiano,119212335,12930,42718,9219,313727,45911,3006022,True,False,Portuguese,4-2020
BeyondTheSummit,391276830,44535,62296,8785,899510,30372,11576375,True,False,English,7-2019
BeyondTheSummit,315615450,42990,116547,7341,899507,33658,6302564,True,False,English,11-2019
