,Channel,Month,Prime,Tier 1,Tier 2,Tier 3,Total,Total Income,Unshared
0,AdmiralBahroo,2018-09-01,5314,10329,240,654,16933,"$70,282.77",396
1,AdmiralBahroo,2018-10-01,6470,8511,236,563,16150,"$58,896.90",370
2,AdmiralBahroo,2018-11-01,6722,12352,291,600,20482,"$79,537.57",517
3,AdmiralBahroo,2018-12-01,7072,16212,296,863,24996,"$105,421.29",553
4,AdmiralBahroo,2019-01-01,5917,9369,196,817,16730,"$69,126.18",431
5,AdmiralBahroo,2019-02-01,11225,13126,290,1165,26462,"$97,509.19",656
6,AdmiralBahroo,2019-03-01,10063,13108,238,655,24653,"$84,154.99",589
7,AdmiralBahroo,2019-04-01,8214,7180,128,450,16440,"$48,352.42",468
8,AdmiralBahroo,2019-05-01,10099,13059,200,562,24608,"$81,206.79",688
9,AdmiralBahroo,2019-06-01,8655,8195,150,444,20769,"$53,487.11",3325
10,AdmiralBahroo,2019-07-01,8315,10510,128,473,32131,"$65,543.89",12705
11,AdmiralBahroo,2019-08-01,5550,7283,96,246,15983,"$43,448.75",2808
12,AdmiralBahroo,2019-09-01,7291,13752,104,378,25267,"$79,107.66",3742
13,AdmiralBahroo,2019-10-01,7158,10045,132,368,21323,"$60,639.55",3620
14,AdmiralBahroo,2019-11-01,6404,7995,98,222,17750,"$46,421.85",3031
15,AdmiralBahroo,2019-12-01,6633,14942,82,258,25125,"$81,827.18",3210
16,AdmiralBahroo,2020-01-01,6529,8312,114,204,18293,"$47,713.70",3134
17,AdmiralBahroo,2020-02-01,6574,8551,146,246,18600,"$50,275.57",3083
18,AdmiralBahroo,2020-03-01,7133,9003,92,246,19725,"$51,991.59",3251
19,AdmiralBahroo,2020-04-01,6619,9368,60,258,19400,"$53,793.14",3095
20,AdmiralBahroo,2020-05-01,7219,10091,51,116,20817,"$53,762.42",3340
21,AdmiralBahroo,2020-06-01,1508,2734,10,4,4986,"$13,842.52",730
22,AdmiralBulldog,2016-09-01,13,280,0,0,336,"$1,397.20",43
23,AdmiralBulldog,2016-10-01,1616,281,0,0,2223,"$1,402.19",326
24,AdmiralBulldog,2016-11-01,527,205,0,0,851,"$1,022.95",119
25,AdmiralBulldog,2016-12-01,978,383,0,0,1591,"$1,911.17",230
26,AdmiralBulldog,2017-01-01,666,267,0,0,1085,"$1,332.33",152
27,AdmiralBulldog,2017-02-01,508,196,0,0,816,$978.04,112
28,AdmiralBulldog,2017-03-01,495,206,0,0,814,"$1,027.94",113
29,AdmiralBulldog,2017-04-01,625,281,0,0,1051,"$1,402.19",145
30,AdmiralBulldog,2017-05-01,722,464,8,23,1423,"$2,970.05",206
31,AdmiralBulldog,2017-06-01,1413,923,36,65,2862,"$6,589.76",425
32,AdmiralBulldog,2017-07-01,1248,888,32,59,2614,"$6,225.21",387
33,AdmiralBulldog,2017-08-01,1154,872,30,56,2481,"$6,050.42",369
34,AdmiralBulldog,2017-09-01,1453,1255,28,63,3285,"$8,116.54",486
35,AdmiralBulldog,2017-10-01,1236,1022,27,57,2747,"$6,793.94",405
36,AdmiralBulldog,2017-11-01,1381,1006,31,61,2902,"$6,854.02",423
37,AdmiralBulldog,2017-12-01,1597,1108,47,65,3297,"$7,622.80",480
38,AdmiralBulldog,2018-01-01,1647,1261,33,75,3510,"$8,496.31",494
39,AdmiralBulldog,2018-02-01,1485,1042,37,80,3090,"$7,568.41",446
40,AdmiralBulldog,2018-03-01,1635,1095,29,87,3335,"$7,927.89",489
41,AdmiralBulldog,2018-04-01,1227,1236,28,72,3001,"$8,246.64",438
42,AdmiralBulldog,2018-05-01,1700,1213,23,93,3560,"$8,606.71",531
43,AdmiralBulldog,2018-06-01,1934,920,21,95,3490,"$7,174.64",520
44,AdmiralBulldog,2018-07-01,2519,1009,17,100,4285,"$7,703.74",640
45,AdmiralBulldog,2018-08-01,2412,1610,19,107,4761,"$10,897.64",613
46,AdmiralBulldog,2018-09-01,2374,1485,14,117,4602,"$10,473.84",612
47,AdmiralBulldog,2018-10-01,2280,1286,13,92,4241,"$8,846.09",570
48,AdmiralBulldog,2018-11-01,1841,1034,13,101,3492,"$7,813.52",503
49,AdmiralBulldog,2018-12-01,2029,1382,18,116,4091,"$9,974.84",546
50,AdmiralBulldog,2019-01-01,1822,1312,11,112,3758,"$9,455.65",501
51,AdmiralBulldog,2019-02-01,3620,1956,22,170,5955,"$14,228.52",187
52,AdmiralBulldog,2019-03-01,2811,1165,12,123,4243,"$9,007.00",132
53,AdmiralBulldog,2019-04-01,2989,1494,9,131,4767,"$10,818.66",144
54,AdmiralBulldog,2019-05-01,3340,1400,10,130,5021,"$10,334.60",141
55,AdmiralBulldog,2019-06-01,3218,1848,15,158,5370,"$13,319.79",131
56,AdmiralBulldog,2019-07-01,3193,2027,11,154,5512,"$14,073.08",127
57,AdmiralBulldog,2019-08-01,2748,1763,5,144,4765,"$12,445.88",105
58,AdmiralBulldog,2019-09-01,2471,1818,10,143,4613,"$12,745.29",171
59,AdmiralBulldog,2019-10-01,2179,2004,11,127,4469,"$13,283.58",148
60,AdmiralBulldog,2019-11-01,2347,1843,15,153,4542,"$13,169.89",184
61,AdmiralBulldog,2019-12-01,2285,1602,26,159,4238,"$12,227.13",166
62,AdmiralBulldog,2020-01-01,2456,1657,9,178,4466,"$12,806.56",166
63,AdmiralBulldog,2020-02-01,2229,2105,10,172,4676,"$14,902.13",160
64,AdmiralBulldog,2020-03-01,2452,2705,16,206,5571,"$18,805.73",192
65,AdmiralBulldog,2020-04-01,2650,2778,19,282,5953,"$21,099.21",224
66,AdmiralBulldog,2020-05-01,2363,2807,38,231,5624,"$20,159.24",185
67,AdmiralBulldog,2020-06-01,618,873,3,79,1636,"$6,360.45",63
68,Castro_1021,2016-09-01,0,1316,0,0,1541,"$6,566.84",225
69,Castro_1021,2016-10-01,1989,899,0,0,3394,"$4,486.01",506
70,Castro_1021,2016-11-01,972,917,0,0,2214,"$4,575.83",325
71,Castro_1021,2016-12-01,1287,1389,0,0,3141,"$6,931.11",465
72,Castro_1021,2017-01-01,1128,831,0,0,2297,"$4,146.69",338
73,Castro_1021,2017-02-01,648,526,0,0,1372,"$2,624.74",198
74,Castro_1021,2017-03-01,684,613,0,0,1515,"$3,058.87",218
75,Castro_1021,2017-04-01,910,627,0,0,1802,"$3,128.73",265
76,Castro_1021,2017-05-01,1441,1363,12,6,3317,"$7,071.19",495
77,Castro_1021,2017-06-01,2405,2307,31,11,5595,"$12,096.51",841
78,Castro_1021,2017-07-01,1184,1471,23,17,3165,"$7,994.89",470
79,Castro_1021,2017-08-01,842,1294,22,10,2548,"$6,926.74",380
80,Castro_1021,2017-09-01,2715,3652,45,18,7575,"$19,122.85",1145
81,Castro_1021,2017-10-01,2545,2953,43,15,6542,"$15,539.89",986
82,Castro_1021,2017-11-01,1932,2610,35,14,5360,"$13,723.41",769
83,Castro_1021,2017-12-01,1949,2524,44,14,5295,"$13,384.18",764
84,Castro_1021,2018-01-01,2197,2155,36,8,5162,"$11,313.01",766
85,Castro_1021,2018-02-01,977,1535,29,9,2978,"$8,174.27",428
86,Castro_1021,2018-03-01,1645,1419,29,13,3636,"$7,695.39",530
87,Castro_1021,2018-04-01,1172,1627,32,9,3334,"$8,663.32",494
88,Castro_1021,2018-05-01,2601,1687,29,9,5089,"$8,932.75",763
89,Castro_1021,2018-06-01,1346,906,17,4,2672,"$4,790.73",399
90,Castro_1021,2018-07-01,481,703,15,3,1404,"$3,732.79",202
91,Castro_1021,2018-08-01,640,1007,11,4,1890,"$5,234.78",228
92,Castro_1021,2018-09-01,4697,4089,26,11,9836,"$20,938.74",1013
93,Castro_1021,2018-10-01,5388,3299,24,9,10076,"$16,926.68",1356
94,Castro_1021,2018-11-01,5101,3240,35,12,9700,"$16,817.13",1312
95,Castro_1021,2018-12-01,5360,3672,40,15,10530,"$19,097.73",1443
96,Castro_1021,2019-01-01,7244,4606,39,27,13764,"$24,048.28",1848
97,Castro_1021,2019-02-01,7662,4034,63,27,12172,"$21,433.76",386
98,Castro_1021,2019-03-01,9620,4328,46,26,14456,"$22,706.00",436
