Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Month
AdmiralBahroo,145006575,15510,16796,9348,767646,3567,1260698,True,False,English,2020-03-01
AdmiralBahroo,143418315,16425,20838,8731,770171,21164,1909551,True,False,English,2018-12-01
AdmiralBahroo,133999260,15810,18081,8475,767646,8821,1401268,True,False,English,2019-07-01
AdmiralBahroo,124495740,13425,14819,9272,770090,5732,1184106,True,False,English,2020-05-01
AdmiralBahroo,113289465,13935,12942,8129,767646,2100,1091917,True,False,English,2020-04-01
AdmiralBahroo,110374845,13920,14616,7928,770090,9819,1423087,True,False,English,2019-01-01
AdmiralBahroo,110024835,15015,29431,7327,770090,14489,1376799,True,False,English,2019-03-01
AdmiralBahroo,107821695,11385,21053,9470,767646,24039,1664305,True,False,English,2019-09-01
AdmiralBahroo,94542885,12195,14637,7752,767646,4226,1094156,True,False,English,2020-01-01
AdmiralBahroo,92309565,10980,18126,8406,770084,8176,1034672,True,False,English,2019-06-01
AdmiralBahroo,91062705,10995,16374,8281,767646,3972,846032,True,False,English,2019-12-01
AdmiralBahroo,89969790,10875,17129,8272,767646,5450,1240667,True,False,English,2020-02-01
AdmiralBahroo,84227100,11910,12756,7071,770090,8651,1229356,True,False,English,2019-02-01
AdmiralBahroo,83240160,10350,11598,8042,767646,5231,846341,True,False,English,2019-11-01
AdmiralBahroo,75818505,10530,54643,7199,767646,15848,1157761,True,False,English,2019-05-01
AdmiralBahroo,74971200,9870,15925,7595,767646,11515,1045862,True,False,English,2019-04-01
AdmiralBahroo,70642200,11085,13278,6372,767646,7363,947540,True,False,English,2019-08-01
AdmiralBahroo,69859410,10785,11017,6476,767646,3743,836767,True,False,English,2019-10-01
AdmiralBulldog,108315105,16380,16452,6612,678078,4830,1780463,True,True,English,2020-04-01
AdmiralBulldog,102577890,14610,23395,7020,678078,10285,2094494,True,True,English,2019-07-01
AdmiralBulldog,89704980,13980,14725,6416,678078,5643,1502576,True,True,English,2020-01-01
AdmiralBulldog,85381005,13695,14472,6234,680321,7647,1662166,True,True,English,2019-06-01
AdmiralBulldog,84726285,13260,12771,6389,678078,5655,1496505,True,True,English,2020-03-01
AdmiralBulldog,84077625,12885,16102,6524,678078,6639,1425492,True,True,English,2019-11-01
AdmiralBulldog,83947785,12900,16681,6507,678078,5537,1368790,True,True,English,2020-02-01
