,Month,Avg. Concur. Viewers,Avg. Concur. Channels,Time Watched,Active Streamers
0,2012-09-01,77798,1986,55742267,n/a
1,2012-10-01,98835,2047,73302625,n/a
2,2012-11-01,109932,2205,78473126,n/a
3,2012-12-01,120537,2457,89458544,n/a
4,2013-01-01,147954,3016,109905163,n/a
5,2013-02-01,165244,3512,110878724,n/a
6,2013-03-01,187862,4224,139362294,n/a
7,2013-04-01,191506,4431,137724732,n/a
8,2013-05-01,195710,4549,135790122,n/a
9,2013-06-01,220370,4615,104381923,n/a
10,2013-07-01,214212,5111,158981006,n/a
11,2013-08-01,225527,5517,167341034,n/a
12,2013-09-01,215156,5224,154912320,n/a
13,2013-10-01,213944,5500,158782105,n/a
14,2013-11-01,260789,6030,187246502,n/a
15,2013-12-01,252300,6570,187290700,n/a
16,2014-01-01,290262,6898,214310110,n/a
17,2014-02-01,302912,7156,200881141,n/a
18,2014-03-01,311146,8111,181449976,n/a
19,2014-04-01,310585,7772,221757690,n/a
20,2014-05-01,330124,8200,243631512,n/a
21,2014-06-01,352506,8313,251748035,n/a
22,2014-07-01,363765,9174,269004218,n/a
23,2014-08-01,392652,10008,289973502,n/a
24,2014-09-01,383753,9748,274767148,n/a
25,2014-10-01,380295,9968,240599970,n/a
26,2014-11-01,392835,11203,279960410,n/a
27,2014-12-01,395772,11503,293333014,n/a
28,2015-01-01,493468,14142,360642863,1533653
29,2015-02-01,512584,15336,338903455,1644386
30,2015-03-01,522739,14669,380728238,1567997
31,2015-04-01,504390,14547,350298855,1538170
32,2015-05-01,516814,15076,377877170,1599500
33,2015-06-01,518666,15293,368685082,1591172
34,2015-07-01,550079,16399,404583105,1677091
35,2015-08-01,598394,17516,439420661,1816317
36,2015-09-01,506181,16723,361919415,1793262
37,2015-10-01,589628,15606,436619534,1678050
38,2015-11-01,581150,17584,406611283,2113999
39,2015-12-01,543112,17359,393303607,1872032
40,2016-01-01,618700,18954,390709050,n/a
41,2016-02-01,593219,19051,331609421,n/a
42,2016-03-01,615139,18643,359753792,n/a
43,2016-04-01,522493,16661,351463625,n/a
44,2016-05-01,593981,18992,418261621,n/a
45,2016-06-01,619838,18789,445043684,n/a
46,2016-07-01,599655,18003,445943435,n/a
47,2016-08-01,513664,16574,382166016,n/a
48,2016-09-01,534140,17870,361612780,n/a
49,2016-10-01,608446,19207,450351448,n/a
50,2016-11-01,623095,20675,443851338,n/a
51,2016-12-01,659345,22284,489233990,1850334
52,2017-01-01,811003,24137,601088390,1942933
53,2017-02-01,744805,24188,500260692,1894405
54,2017-03-01,701500,23230,393892250,1953138
55,2017-04-01,743596,22052,534149793,1804061
56,2017-05-01,683590,22371,498109247,1804282
57,2017-06-01,709304,23379,509162055,1921765
58,2017-07-01,760689,25745,565952616,2386623
59,2017-08-01,717126,24683,533541744,2142869
60,2017-09-01,732925,25014,527706000,1950271
61,2017-10-01,786585,25692,584825948,2048513
62,2017-11-01,800069,26759,574849577,2115552
63,2017-12-01,780131,28610,580287442,2460341
64,2018-01-01,967829,33546,719903471,2969173
65,2018-02-01,915659,35496,610286724,2890347
66,2018-03-01,971728,39026,707417984,3695563
67,2018-04-01,1011491,39397,728273520,3315212
68,2018-05-01,1024200,38705,761834100,3062437
69,2018-06-01,1095466,39699,788552942,3153852
70,2018-07-01,1076453,41842,774687342,2957895
71,2018-08-01,1150353,44340,854137103,3712170
72,2018-09-01,1132031,44195,815062320,3670836
73,2018-10-01,1145919,43507,850844858,3646616
74,2018-11-01,1202989,45448,866152080,3743470
75,2018-12-01,1136970,48134,845905680,4122463
76,2019-01-01,1276009,55794,949138028,4537807
77,2019-02-01,1311802,56286,880000508,4205001
78,2019-03-01,1273772,54934,947049482,4389867
79,2019-04-01,1234112,51261,888560640,4184467
80,2019-05-01,1262560,48294,939344640,3933404
81,2019-06-01,1304579,47898,939296880,3396947
82,2019-07-01,1232340,48045,916860960,3355426
83,2019-08-01,1342559,48434,998863896,3188759
84,2019-09-01,1219579,46184,878096880,2942889
85,2019-10-01,1211344,45179,901239936,2973666
86,2019-11-01,1222247,45644,880017840,3198707
87,2019-12-01,1183198,45554,880299312,3353608
88,2020-01-01,1357375,52821,1009887000,3935308
89,2020-02-01,1410516,53816,981719136,3753539
90,2020-03-01,1637064,65976,1217975616,5080031
91,2020-04-01,2486264,93618,1790110080,7213644
92,2020-05-01,2363201,100442,1645969497,n/a
